#8,3,8
17:1 0 0 0 0 0 0 17:1
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
17:1 0 0 0 0 0 0 17:1
17:1 17:1 17:1 17:1 17:1 17:1 17:1 17:1
17:1 5 5:1 5 5:1 5 5:1 17:1
17:1 5:1 5 5:1 5 5:1 5 17:1
17:1 5 5:1 5 5:1 5 5:1 17:1
17:1 5:1 5 5:1 5 5:1 5 17:1
17:1 5 5:1 5 5:1 5 5:1 17:1
17:1 5:1 5 5:1 5 5:1 5 17:1
17:1 17:1 17:1 17:1 17:1 17:1 17:1 17:1
17:1 17:1 17:1 17:1 17:1 17:1 17:1 17:1
17:1 0 0 0 0 0 0 17:1
17:1 0 0 0 0 35:3 0 17:1
17:1 0 0 0 35:3 0 0 17:1
17:1 0 0 35:3 0 0 0 17:1
17:1 0 0 0 0 0 0 17:1
17:1 0 0 0 0 0 0 17:1
17:1 17:1 17:1 17:1 17:1 17:1 17:1 17:1
